,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_average_sentence_length,mda_percentage_of_complex_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainty_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion,qqdmr_positive_score,qqdmr_negative_score,qqdmr_polarity_score,qqdmr_average_sentence_length,qqdmr_percentage_of_complex_words,qqdmr_fog_index,qqdmr_complex_word_count,qqdmr_word_count,qqdmr_uncertainty_score,qqdmr_constraining_score,qqdmr_positive_word_proportion,qqdmr_negative_word_proportion,qqdmr_uncertainty_word_proportion,qqdmr_constraining_word_proportion,rf_positive_score,rf_negative_score,rf_polarity_score,rf_average_sentence_length,rf_percentage_of_complex_words,rf_fog_index,rf_complex_word_count,rf_word_count,rf_uncertainty_score,rf_constraining_score,rf_positive_word_proportion,rf_negative_word_proportion,rf_uncertainty_word_proportion,rf_constraining_word_proportion,constraining_words_whole_report
12,3662,SUNBEAM CORP/FL/,199908,8/16/99,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,3
13,3662,SUNBEAM CORP/FL/,199908,8/19/99,10-Q,edgar/data/3662/0000950170-99-001361.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,143
14,3662,SUNBEAM CORP/FL/,199911,11/8/99,10-K/A,edgar/data/3662/0000889812-99-003241.txt,0,0,0.0,11.25,0.6,4.74,81,135,4,0,0.0,0.0,0.02962962962962963,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,294
15,3662,SUNBEAM CORP/FL/,199911,11/8/99,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,3,1,0.49999987500003124,16.263157894736842,0.6699029126213593,6.773224322943282,207,309,7,1,0.008426966292134831,0.0028089887640449437,0.022653721682847898,0.003236245954692557,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,161
16,3662,SUNBEAM CORP/FL/,199911,11/8/99,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,29,94,-0.5284552802564612,12.853801169590643,0.6512738853503185,5.402030021976385,2863,4396,82,39,0.00586213866990095,0.019001414998989285,0.0186533212010919,0.008871701546860783,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,148
17,3662,SUNBEAM CORP/FL/,199911,11/15/99,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,3
18,3662,SUNBEAM CORP/FL/,199911,11/19/99,10-Q,edgar/data/3662/0000950170-99-001856.txt,3,1,0.49999987500003124,16.68421052631579,0.6656151419558359,6.939930267308651,211,317,7,1,0.008086253369272238,0.0026954177897574125,0.022082018927444796,0.0031545741324921135,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,182
19,3982,ALLIS CHALMERS ENERGY INC.,200603,3/22/06,10-K,edgar/data/3982/0000950129-06-002926.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,428
20,3982,ALLIS CHALMERS ENERGY INC.,200605,5/1/06,10-K/A,edgar/data/3982/0000950129-06-004690.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,14
21,3982,ALLIS CHALMERS ENERGY INC.,200605,5/10/06,10-Q,edgar/data/3982/0000950129-06-005244.txt,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.4,0,1,0,0,0.0,0.0,0.0,0.0,565
